Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
275.00	0.0068932	999.89	0.0010001	0.13978	0.13979	0.51000	75.903	75.915	1411.4	-0.043709	0.0016821	0.56022	0.075388	0.0055066	181.60	42.830	45.115	164.06	25.580	33.980	410.33	101.93	8.9986e-06	0.016879
276.00	0.0074025	999.91	0.0010001	0.21567	0.21568	0.78546	75.859	75.863	1416.1	-0.043538	0.0016272	0.56266	0.075247	0.0058922	169.71	42.855	45.148	163.59	25.595	33.998	411.05	98.745	9.0275e-06	0.016944
277.00	0.0079448	999.92	0.0010001	0.29151	0.29152	1.0597	75.814	75.814	1420.8	-0.043371	0.0015750	0.56504	0.075105	0.0063013	158.70	42.880	45.181	163.12	25.610	34.017	411.77	95.665	9.0566e-06	0.017008
278.00	0.0085220	999.92	0.0010001	0.36730	0.36732	1.3329	75.767	75.769	1425.3	-0.043207	0.0015255	0.56738	0.074963	0.0067349	148.48	42.905	45.214	162.65	25.626	34.035	412.49	92.691	9.0858e-06	0.017074
279.00	0.0091359	999.90	0.0010001	0.44305	0.44306	1.6048	75.719	75.727	1429.8	-0.043046	0.0014785	0.56967	0.074820	0.0071945	139.00	42.930	45.247	162.19	25.641	34.054	413.21	89.818	9.1152e-06	0.017139
280.00	0.0097885	999.86	0.0010001	0.51876	0.51877	1.8757	75.669	75.688	1434.1	-0.042887	0.0014337	0.57191	0.074677	0.0076812	130.19	42.954	45.280	161.74	25.657	34.073	413.92	87.044	9.1447e-06	0.017204
281.00	0.010482	999.81	0.0010002	0.59443	0.59444	2.1455	75.617	75.652	1438.3	-0.042732	0.0013911	0.57411	0.074533	0.0081963	122.01	42.979	45.313	161.29	25.672	34.092	414.64	84.367	9.1743e-06	0.017270
282.00	0.011218	999.75	0.0010003	0.67006	0.67008	2.4142	75.564	75.619	1442.5	-0.042579	0.0013504	0.57628	0.074388	0.0087414	114.40	43.004	45.346	160.84	25.688	34.111	415.35	81.783	9.2041e-06	0.017336
283.00	0.012000	999.67	0.0010003	0.74566	0.74569	2.6818	75.510	75.588	1446.5	-0.042429	0.0013117	0.57840	0.074243	0.0093178	107.32	43.028	45.379	160.40	25.704	34.131	416.06	79.289	9.2339e-06	0.017402
284.00	0.012829	999.58	0.0010004	0.82124	0.82126	2.9484	75.454	75.560	1450.4	-0.042281	0.0012746	0.58048	0.074097	0.0099270	100.74	43.053	45.412	159.96	25.720	34.150	416.77	76.883	9.2640e-06	0.017469
